course_id,title,description,tags,category,subcategory,level,instructor,learning_outcomes,video_id,youtube_url
1,Java Fundamentals,Comprehensive beginner course on Java. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"java,programming,beginner",Programming,Java,Beginner,Jennifer Lee,"Master Java, Build real-world projects, Understand core concepts, Apply best practices",RRubcjpTkks,https://www.youtube.com/watch?v=RRubcjpTkks
2,Professional C++,Comprehensive beginner course on C++. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"c++,programming,beginner",Programming,C++,Beginner,David Kim,"Master C++, Build real-world projects, Understand core concepts, Apply best practices",_zQqN5OYCCM,https://www.youtube.com/watch?v=_zQqN5OYCCM
3,Java for Advanceds,Comprehensive advanced course on Java. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"java,programming,advanced",Programming,Java,Advanced,Thomas Brown,"Master Java, Build real-world projects, Understand core concepts, Apply best practices",v-spQPMzWJA,https://www.youtube.com/watch?v=v-spQPMzWJA
4,Python Fundamentals,Comprehensive beginner course on Python. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"python,programming,beginner",Programming,Python,Beginner,Maria Garcia,"Master Python, Build real-world projects, Understand core concepts, Apply best practices",fWjsdhR3z3c,https://www.youtube.com/watch?v=fWjsdhR3z3c
5,Professional TypeScript,Comprehensive advanced course on TypeScript. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"typescript,programming,advanced",Programming,TypeScript,Advanced,Dr. Sarah Johnson,"Master TypeScript, Build real-world projects, Understand core concepts, Apply best practices",EcCTIExsqmI,https://www.youtube.com/watch?v=EcCTIExsqmI
6,Learn C++,Comprehensive advanced course on C++. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"c++,programming,advanced",Programming,C++,Advanced,Dr. Wei Zhang,"Master C++, Build real-world projects, Understand core concepts, Apply best practices",_zQqN5OYCCM,https://www.youtube.com/watch?v=_zQqN5OYCCM
7,Advanced C++,Comprehensive intermediate course on C++. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"c++,programming,intermediate",Programming,C++,Intermediate,Marco Rossi,"Master C++, Build real-world projects, Understand core concepts, Apply best practices",6lU11IHfJgo,https://www.youtube.com/watch?v=6lU11IHfJgo
8,Learn R,Comprehensive beginner course on R. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"r,programming,beginner",Programming,R,Beginner,James Wilson,"Master R, Build real-world projects, Understand core concepts, Apply best practices",FIrsOBy5k58,https://www.youtube.com/watch?v=FIrsOBy5k58
9,Rust Fundamentals,Comprehensive intermediate course on Rust. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"rust,programming,intermediate",Programming,Rust,Intermediate,Dr. Lisa Anderson,"Master Rust, Build real-world projects, Understand core concepts, Apply best practices",HPrvAHiItQA,https://www.youtube.com/watch?v=HPrvAHiItQA
10,Complete R Course,Comprehensive intermediate course on R. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"r,programming,intermediate",Programming,R,Intermediate,David Kim,"Master R, Build real-world projects, Understand core concepts, Apply best practices",FIrsOBy5k58,https://www.youtube.com/watch?v=FIrsOBy5k58
11,Swift Bootcamp,Comprehensive beginner course on Swift. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"swift,programming,beginner",Programming,Swift,Beginner,Carlos Mendez,"Master Swift, Build real-world projects, Understand core concepts, Apply best practices",R4G3OHd9Kqk,https://www.youtube.com/watch?v=R4G3OHd9Kqk
12,Ruby from Scratch,Comprehensive intermediate course on Ruby. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"ruby,programming,intermediate",Programming,Ruby,Intermediate,Prof. Michael Chen,"Master Ruby, Build real-world projects, Understand core concepts, Apply best practices",runN4gPJJzU,https://www.youtube.com/watch?v=runN4gPJJzU
13,Complete TypeScript Course,Comprehensive beginner course on TypeScript. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"typescript,programming,beginner",Programming,TypeScript,Beginner,Dr. Priya Sharma,"Master TypeScript, Build real-world projects, Understand core concepts, Apply best practices",ydkQlJhodio,https://www.youtube.com/watch?v=ydkQlJhodio
14,TypeScript Bootcamp,Comprehensive intermediate course on TypeScript. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"typescript,programming,intermediate",Programming,TypeScript,Intermediate,Dr. Fatima Al-Sayed,"Master TypeScript, Build real-world projects, Understand core concepts, Apply best practices",X2f724694XQ,https://www.youtube.com/watch?v=X2f724694XQ
15,Ruby for Beginners,Comprehensive beginner course on Ruby. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"ruby,programming,beginner",Programming,Ruby,Beginner,Emily Rodriguez,"Master Ruby, Build real-world projects, Understand core concepts, Apply best practices",ml5sNqftiK4,https://www.youtube.com/watch?v=ml5sNqftiK4
16,Complete PHP Course,Comprehensive beginner course on PHP. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"php,programming,beginner",Programming,PHP,Beginner,Dr. Ahmed Hassan,"Master PHP, Build real-world projects, Understand core concepts, Apply best practices",Bi-PVL-3Yq8,https://www.youtube.com/watch?v=Bi-PVL-3Yq8
17,Advanced C++,Comprehensive beginner course on C++. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"c++,programming,beginner",Programming,C++,Beginner,Dr. Priya Sharma,"Master C++, Build real-world projects, Understand core concepts, Apply best practices",RSDzvlXmQi4,https://www.youtube.com/watch?v=RSDzvlXmQi4
18,Master Kotlin,Comprehensive advanced course on Kotlin. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"kotlin,programming,advanced",Programming,Kotlin,Advanced,Carlos Mendez,"Master Kotlin, Build real-world projects, Understand core concepts, Apply best practices",O3WLv4_ev7s,https://www.youtube.com/watch?v=O3WLv4_ev7s
19,Advanced Rust,Comprehensive intermediate course on Rust. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"rust,programming,intermediate",Programming,Rust,Intermediate,Maria Garcia,"Master Rust, Build real-world projects, Understand core concepts, Apply best practices",Q_5GK7LV5oo,https://www.youtube.com/watch?v=Q_5GK7LV5oo
20,Scala Masterclass,Comprehensive advanced course on Scala. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"scala,programming,advanced",Programming,Scala,Advanced,Emily Rodriguez,"Master Scala, Build real-world projects, Understand core concepts, Apply best practices",jRma-fXmPUw,https://www.youtube.com/watch?v=jRma-fXmPUw
21,PHP Fundamentals,Comprehensive beginner course on PHP. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"php,programming,beginner",Programming,PHP,Beginner,Dr. Wei Zhang,"Master PHP, Build real-world projects, Understand core concepts, Apply best practices",O_iygXjqIK8,https://www.youtube.com/watch?v=O_iygXjqIK8
22,Advanced JavaScript,Comprehensive intermediate course on JavaScript. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"javascript,programming,intermediate",Programming,JavaScript,Intermediate,Dr. Priya Sharma,"Master JavaScript, Build real-world projects, Understand core concepts, Apply best practices",lkIFF4maKMU,https://www.youtube.com/watch?v=lkIFF4maKMU
23,PHP Fundamentals,Comprehensive advanced course on PHP. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"php,programming,advanced",Programming,PHP,Advanced,Dr. Wei Zhang,"Master PHP, Build real-world projects, Understand core concepts, Apply best practices",2s6mIboARCM,https://www.youtube.com/watch?v=2s6mIboARCM
24,PHP Fundamentals,Comprehensive intermediate course on PHP. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"php,programming,intermediate",Programming,PHP,Intermediate,Prof. Michael Chen,"Master PHP, Build real-world projects, Understand core concepts, Apply best practices",nmKtWyc3S9w,https://www.youtube.com/watch?v=nmKtWyc3S9w
25,Advanced Python,Comprehensive intermediate course on Python. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"python,programming,intermediate",Programming,Python,Intermediate,Dr. Priya Sharma,"Master Python, Build real-world projects, Understand core concepts, Apply best practices",mB0EBW-vDSQ,https://www.youtube.com/watch?v=mB0EBW-vDSQ
26,Java Bootcamp,Comprehensive beginner course on Java. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"java,programming,beginner",Programming,Java,Beginner,Marco Rossi,"Master Java, Build real-world projects, Understand core concepts, Apply best practices",RRubcjpTkks,https://www.youtube.com/watch?v=RRubcjpTkks
27,Learn C++,Comprehensive advanced course on C++. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"c++,programming,advanced",Programming,C++,Advanced,Dr. John Smith,"Master C++, Build real-world projects, Understand core concepts, Apply best practices",_zQqN5OYCCM,https://www.youtube.com/watch?v=_zQqN5OYCCM
28,Advanced PHP,Comprehensive intermediate course on PHP. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"php,programming,intermediate",Programming,PHP,Intermediate,Dr. Lisa Anderson,"Master PHP, Build real-world projects, Understand core concepts, Apply best practices",RGaW82k4dK4,https://www.youtube.com/watch?v=RGaW82k4dK4
29,Professional JavaScript,Comprehensive beginner course on JavaScript. Learn essential skills and best practices in programming. Perfect for those looking to advance their career.,"javascript,programming,beginner",Programming,JavaScript,Beginner,Dr. Wei Zhang,"Master JavaScript, Build real-world projects, Understand core concepts, Apply best practices",lkIFF4maKMU,https://www.youtube.com/watch?v=lkIFF4maKMU
