quiz_id,course_id,difficulty_level,title,description,total_questions,passing_score,time_limit,created_at
1,1,Easy,Java Fundamentals - Easy Quiz,"Test your easy level knowledge of Java Fundamentals. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
2,1,Medium,Java Fundamentals - Medium Quiz,"Test your medium level knowledge of Java Fundamentals. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
3,1,Hard,Java Fundamentals - Hard Quiz,"Test your hard level knowledge of Java Fundamentals. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
4,2,Easy,Professional C++ - Easy Quiz,"Test your easy level knowledge of Professional C++. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
5,2,Medium,Professional C++ - Medium Quiz,"Test your medium level knowledge of Professional C++. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
6,2,Hard,Professional C++ - Hard Quiz,"Test your hard level knowledge of Professional C++. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
7,3,Easy,Java for Advanceds - Easy Quiz,"Test your easy level knowledge of Java for Advanceds. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
8,3,Medium,Java for Advanceds - Medium Quiz,"Test your medium level knowledge of Java for Advanceds. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
9,3,Hard,Java for Advanceds - Hard Quiz,"Test your hard level knowledge of Java for Advanceds. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
10,4,Easy,Python Fundamentals - Easy Quiz,"Test your easy level knowledge of Python Fundamentals. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
11,4,Medium,Python Fundamentals - Medium Quiz,"Test your medium level knowledge of Python Fundamentals. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
12,4,Hard,Python Fundamentals - Hard Quiz,"Test your hard level knowledge of Python Fundamentals. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
13,5,Easy,Professional TypeScript - Easy Quiz,"Test your easy level knowledge of Professional TypeScript. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
14,5,Medium,Professional TypeScript - Medium Quiz,"Test your medium level knowledge of Professional TypeScript. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
15,5,Hard,Professional TypeScript - Hard Quiz,"Test your hard level knowledge of Professional TypeScript. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
16,6,Easy,Learn C++ - Easy Quiz,"Test your easy level knowledge of Learn C++. Focus: basic concepts, definitions, terminology",10,60,15,2025-12-15 08:15:49
17,6,Medium,Learn C++ - Medium Quiz,"Test your medium level knowledge of Learn C++. Focus: application, analysis, problem-solving",12,70,20,2025-12-15 08:15:49
18,6,Hard,Learn C++ - Hard Quiz,"Test your hard level knowledge of Learn C++. Focus: advanced concepts, optimization, best practices",15,80,30,2025-12-15 08:15:49
